date,valor
1900,1.198938
1900.25,1.29991
1900.5,1.348435
1900.75,1.455093
1901,1.552336
1901.25,1.725968
1901.5,1.694321
1901.75,1.681869
1902,1.648196
1902.25,1.697809
1902.5,1.736508
1902.75,1.620808
1903,1.605157
1903.25,1.430414
1903.5,1.261505
1903.75,1.203517
1904,1.233163
1904.25,1.227566
1904.5,1.313457
1904.75,1.497786
1905,1.621974
1905.25,1.600681
1905.5,1.671367
1905.75,1.720116
1906,1.775124
1906.25,1.688127
1906.5,1.73614
1906.75,1.784338
1907,1.56487
1907.25,1.395649
1907.5,1.320892
1907.75,1.107306
1908,1.194777
1908.25,1.318208
1908.5,1.420211
1908.75,1.517884
1909,1.54937
1909.25,1.656639
1909.5,1.739487
1909.75,1.755338
1910,1.632925
1910.25,1.550926
1910.5,1.436905
1910.75,1.500498
1911,1.512805
1911.25,1.5287520000000001
1911.5,1.471175
1911.75,1.434839
1912,1.4091
1912.25,1.468326
1912.5,1.489383
1912.75,1.467662
1913,1.33498
1913.25,1.250519
1913.5,1.233247
1913.75,1.186374
1914,1.204348
1914.25,1.163751
1914.5,0.36452
1914.75,0.34745
1915,1.045744
1915.25,1.120466
1915.5,1.157109
1915.75,1.29339
1916,1.181483
1916.25,1.176719
1916.5,1.193553
1916.75,1.263748
1917,1.1221969999999999
1917.25,1.041095
1917.5,0.936706
1917.75,0.759741
1918,0.73845
1918.25,0.712114
1918.5,0.698161
1918.75,0.704654
1919,0.677468
1919.25,0.725635
1919.5,0.720057
1919.75,0.699057
1920,0.621649
1920.25,0.57267
1920.5,0.523322
1920.75,0.477349
1921,0.463622
1921.25,0.464201
1921.5,0.452888
1921.75,0.499671
1922,0.539891
1922.25,0.61203
1922.5,0.649351
1922.75,0.668508
1923,0.681895
1923.25,0.63943
1923.5,0.590358
1923.75,0.598424
1924,0.632881
1924.25,0.610933
1924.5,0.656165
1924.75,0.684185
1925,0.740614
1925.25,0.734218
1925.5,0.776154
1925.75,0.830696
1926,0.83713
1926.25,0.787446
1926.5,0.869476
1926.75,0.878108
1927,0.905885
1927.25,0.970039
1927.5,1.067984
1927.75,1.136023
1928,1.177344
1928.25,1.294396
1928.5,1.330927
1928.75,1.500402
1929,1.658972
1929.25,1.69201
1929.5,1.964777
1929.75,1.523377
1930,1.499516
1930.25,1.551051
1930.5,1.372924
1930.75,1.10029
1931,1.134978
1931.25,1.005005
1931.5,0.931256
1931.75,0.689696
1932,0.600878
1932.25,0.410734
1932.5,0.527989
1932.75,0.546046
1933,0.513565
1933.25,0.692795
1933.5,0.868333
1933.75,0.790587
1934,0.868893
1934.25,0.807528
1934.5,0.714021
1934.75,0.703984
1935,0.677533
1935.25,0.727574
1935.5,0.837852
1935.75,0.937242
1936,1.05792
1936.25,1.063064
1936.5,1.148668
1936.75,1.233377
1937,1.276381
1937.25,1.144861
1937.5,1.102134
1937.75,0.787417
1938,0.745844
1938.25,0.687328
1938.5,0.82996
1938.75,0.888136
1939,0.852686
1939.25,0.765854
1939.5,0.823303
1939.75,0.866768
1940,0.832399
1940.25,0.733481
1940.5,0.690702
1940.75,0.717497
1941,0.665384
1941.25,0.621108
1941.5,0.651099
1941.75,0.583132
1942,0.521362
1942.25,0.473402
1942.5,0.494547
1942.75,0.525104
1943,0.579584
1943.25,0.632358
1943.5,0.632055
1943.75,0.596595
1944,0.609218
1944.25,0.619786
1944.5,0.644014
1944.75,0.645696
1945,0.681164
1945.25,0.720807
1945.5,0.734287
1945.75,0.814037
1946,0.836564
1946.25,0.851665
1946.5,0.755295
1946.75,0.646392
1947,0.643798
1947.25,0.587655
1947.5,0.598795
1947.75,0.570929
1948,0.527187
1948.25,0.576425
1948.5,0.560576
1948.75,0.531846
1949,0.512429
1949.25,0.495691
1949.5,0.516431
1949.75,0.54956
1950,0.578644
1950.25,0.614934
1950.5,0.609539
1950.75,0.655938
1951,0.698641
1951.25,0.688422
1951.5,0.702849
1951.75,0.698998
1952,0.715065
1952.25,0.709367
1952.5,0.733726
1952.75,0.729718
1953,0.751424
1953.25,0.703638
1953.5,0.68475
1953.75,0.6935
1954,0.734557
1954.25,0.798756
1954.5,0.859653
1954.75,0.93184
1955,1.005588
1955.25,1.059995
1955.5,1.188118
1955.75,1.211593
1956,1.23531
1956.25,1.268968
1956.5,1.287893
1956.75,1.227746
1957,1.163887
1957.25,1.204931
1957.5,1.180474
1957.75,1.027435
1958,1.037869
1958.25,1.078462
1958.5,1.163697
1958.75,1.266832
1959,1.336236
1959.25,1.375894
1959.5,1.396324
1959.75,1.365095
1960,1.319374
1960.25,1.304084
1960.5,1.285667
1960.75,1.26664
1961,1.410066
1961.25,1.490388
1961.5,1.499687
1961.75,1.566702
1962,1.546944
1962.25,1.368524
1962.5,1.263307
1962.75,1.29355
1963,1.41232
1963.25,1.490175
1963.5,1.507297
1963.75,1.545423
1964,1.62371
1964.25,1.669205
1964.5,1.710328
1964.75,1.736378
1965,1.758499
1965.25,1.761416
1965.5,1.736889
1965.75,1.818369
1966,1.795864
1966.25,1.708215
1966.5,1.560893
1966.75,1.513282
1967,1.632242
1967.25,1.699226
1967.5,1.731497
1967.75,1.714038
1968,1.637534
1968.25,1.726642
1968.5,1.735266
1968.75,1.801338
1969,1.698151
1969.25,1.68168
1969.5,1.535972
1969.75,1.507182
1970,1.392017
1970.25,1.219974
1970.5,1.190827
1970.75,1.280689
1971,1.415506
1971.25,1.462803
1971.5,1.399851
1971.75,1.349871
1972,1.458016
1972.25,1.47834
1972.5,1.475108
1972.75,1.522089
1973,1.505316
1973.25,1.379191
1973.5,1.323799
1973.75,1.263968
1974,1.146498
1974.25,1.053527
1974.5,0.853609
1974.75,0.760621
1975,0.840847
1975.25,0.925902
1975.5,0.887717
1975.75,0.880443
1976,0.965462
1976.25,0.968054
1976.5,0.976045
1976.75,0.942943
1977,0.916814
1977.25,0.874519
1977.5,0.849037
1977.75,0.797858
1978,0.741642
1978.25,0.778478
1978.5,0.806959
1978.75,0.75435700000000006
1979,0.747306
1979.25,0.737583
1979.5,0.751129
1979.75,0.722683
1980,0.729338
1980.25,0.691362
1980.5,0.759021
1980.75,0.792037
1981,0.759779
1981.25,0.745409
1981.5,0.685688
1981.75,0.648343
1982,0.594531
1982.25,0.582839
1982.5,0.570434
1982.75,0.672484
1983,0.71761
1983.25,0.781507
1983.5,0.785447
1983.75,0.777291
1984,0.740967
1984.25,0.709248
1984.5,0.720424
1984.75,0.730705
1985,0.774187
1985.25,0.796668
1985.5,0.801489
1985.75,0.827807
1986,0.916464
1986.25,0.9937
1986.5,0.987543
1986.75,0.989349
1987,1.119197
1987.25,1.159895
1987.5,1.246875
1987.75,0.984298
1988,0.980816
1988.25,0.985949
1988.5,0.986264
1988.75,1.002005
1989,1.042495
1989.25,1.105811
1989.5,1.18809
1989.75,1.181455
1990,1.130283
1990.25,1.154678
1990.5,1.088763
1990.75,1.011819
1991,1.111384
1991.25,1.174032
1991.5,1.178627
1991.75,1.166585
1992,1.227253
1992.25,1.20779
1992.5,1.214302
1992.75,1.219254
1993,1.265997
1993.25,1.261039
1993.5,1.274634
1993.75,1.306225
1994,1.292558
1994.25,1.225041
1994.5,1.239066
1994.75,1.208609
1995,1.239951
1995.25,1.331009
1995.5,1.411654
1995.75,1.473569
1996,1.55946
1996.25,1.585132
1996.5,1.78814
1996.75,1.81748
